year,species,nz,corr,r2,F1_best,run
2010,Archosargus probatocephalus_A,0.5991183162684869,0.6389908431938907,0.2868950086980072,0.7676615035889687,run_g
2010,Archosargus probatocephalus_R,0.30474971558589303,0.7464666699387065,0.5546308687903724,0.4078408425980105,run_g
2010,Callinectes sapidus_R,0.6467576791808873,0.7056288665958794,0.4702494752198215,0.786117136659436,run_g
2010,Centropomus undecimalis_A,0.491325369738339,0.5155724319156627,0.2541656685932814,0.7720556591593746,run_g
2010,Centropomus undecimalis_SA,0.2935153583617747,0.4816041429702406,0.03651687392245939,0.44458478054941586,run_g
2010,Cynoscion nebulosus_A,0.511518771331058,0.48575563154846857,0.22969206209083792,0.6777841671458693,run_g
2010,Cynoscion nebulosus_R,0.5526166097838453,0.6174488921050736,0.36376457196981093,0.767089975682248,run_g
2010,Lutjanus griseus_R,0.33418657565415244,0.6219927452834644,0.36228640957246105,0.5444936924650529,run_g
2010,Lutjanus griseus_SA,0.38054607508532423,0.6271047772073606,0.21070133752627063,0.6524704708035268,run_g
2010,Mycteroperca microlepis_SA,0.2939419795221843,0.46465610430348414,0.21584758723871633,0.45421791526897753,run_g
2010,Sciaenops ocellatus_R,0.30930034129692835,0.6606829029713417,0.21426924551901394,0.39669421487603307,run_g
2010,Sciaenops ocellatus_SA,0.6305460750853242,0.6693015714750474,0.40716077007644835,0.7814345991561181,run_g
2011,Archosargus probatocephalus_A,0.5907281001137656,0.5453672007477177,0.09885278107278206,0.7465449804432855,run_g
2011,Archosargus probatocephalus_R,0.28782707622298065,0.23159860425936954,-3.6859107953737213,0.4592057761732852,run_g
2011,Callinectes sapidus_R,0.6713594994311718,0.5479489777901396,0.2844277206663688,0.8056872037914692,run_g
2011,Centropomus undecimalis_A,0.49217861205915814,0.6202621687357829,0.3401808435083895,0.7596388132435145,run_g
2011,Centropomus undecimalis_SA,0.29692832764505117,0.7710284797207687,0.15659188023690518,0.4626429788269652,run_g
2011,Cynoscion nebulosus_A,0.48862343572241185,0.5079275739019913,0.23563761382026516,0.6722706096819931,run_g
2011,Cynoscion nebulosus_R,0.5665529010238908,0.6539602100583314,0.36323229825951864,0.7618666666666667,run_g
2011,Lutjanus griseus_R,0.32380546075085326,0.5463943040546706,-0.002779491005131751,0.5569060773480663,run_g
2011,Lutjanus griseus_SA,0.36945392491467577,0.5482317922963944,0.05945415590907133,0.6172718351324828,run_g
2011,Mycteroperca microlepis_SA,0.28924914675767915,0.7774346680729575,0.2978109884278869,0.33216448836467966,run_g
2011,Sciaenops ocellatus_R,0.314419795221843,0.5082404626377564,0.23075850297402412,0.47193062528525787,run_g
2011,Sciaenops ocellatus_SA,0.5988339021615472,0.7369169350428602,0.5228447497631423,0.753829518832222,run_g
2012,Archosargus probatocephalus_A,0.6103066439522998,0.6300039623787408,0.3934783752920439,0.7782379518072289,run_g
2012,Archosargus probatocephalus_R,0.2988358886996025,0.2102453294003429,-0.010331931686956342,0.46211289259828686,run_g
2012,Callinectes sapidus_R,0.6814310051107325,0.6974284627537961,0.3914347042066101,0.815861130020422,run_g
2012,Centropomus undecimalis_A,0.5117830777967064,0.5707593108168574,0.31783303285809017,0.7537533323979234,run_g
2012,Centropomus undecimalis_SA,0.30706984667802384,0.6233197773905823,0.33037675808057543,0.4703067217750707,run_g
2012,Cynoscion nebulosus_A,0.5107893242475866,0.3394888586300275,0.10726634143051372,0.7078651685393258,run_g
2012,Cynoscion nebulosus_R,0.5718341851220897,0.5668490821944967,0.30716714288559865,0.7698013245033113,run_g
2012,Lutjanus griseus_R,0.33319136854060194,0.517690011550138,0.18645077856193637,0.4996243425995492,run_g
2012,Lutjanus griseus_SA,0.37720045428733673,0.46261918554914333,0.126296933579213,0.6155433287482807,run_g
2012,Mycteroperca microlepis_SA,0.2921635434412266,0.31940640855599317,-0.28864991746566737,0.4314066852367688,run_g
2012,Sciaenops ocellatus_R,0.3246734809767178,0.7226474638410456,0.49824833405468016,0.33539967373572593,run_g
2012,Sciaenops ocellatus_SA,0.6233674048835889,0.8215436227103944,0.6439461781215687,0.7945314047949277,run_g
2013,Archosargus probatocephalus_A,0.6652470187393527,0.4502441305388549,-0.07653857911245265,0.8062384351044145,run_g
2013,Archosargus probatocephalus_R,0.3151618398637138,0.44577103365377424,0.180150765006433,0.480008835873647,run_g
2013,Callinectes sapidus_R,0.6854060193072118,0.6355274788102421,0.39748871737277225,0.8196186222298574,run_g
2013,Centropomus undecimalis_A,0.5636002271436684,0.6904286689827583,0.4628630659624955,0.7968499733048585,run_g
2013,Centropomus undecimalis_SA,0.32396365701306074,0.41220695930362405,0.10824909968241148,0.49216953236228234,run_g
2013,Cynoscion nebulosus_A,0.522572402044293,0.6035383751735727,0.3502629075564955,0.6981818181818182,run_g
2013,Cynoscion nebulosus_R,0.5780806360022714,0.5805206748728842,0.261928531717731,0.8167515563101302,run_g
2013,Lutjanus griseus_R,0.34497444633730834,0.5564315584831288,0.28678122449630705,0.5568499534016775,run_g
2013,Lutjanus griseus_SA,0.41624077228847245,0.5288525214967563,0.27414520403918585,0.6481694303070104,run_g
2013,Mycteroperca microlepis_SA,0.30706984667802384,0.311113817260057,-0.2365662391652288,0.47449114459423736,run_g
2013,Sciaenops ocellatus_R,0.3233957978421351,0.741141180931515,0.3526589357871802,0.5015588992815507,run_g
2013,Sciaenops ocellatus_SA,0.6709256104486088,0.5481282402155351,0.1189652907293326,0.8045819798256112,run_g
2014,Archosargus probatocephalus_A,0.6932140829074389,0.6132725303114941,0.3607209548050341,0.84722473332128,run_g
2014,Archosargus probatocephalus_R,0.3354628052243044,0.6669090452806055,0.35790174786484064,0.5271028037383177,run_g
2014,Callinectes sapidus_R,0.7122373651334469,0.6828628934037901,0.4298676511138714,0.832399899690713,run_g
2014,Centropomus undecimalis_A,0.5898637137989778,0.6295828630190812,0.391570114641258,0.8091702487951022,run_g
2014,Centropomus undecimalis_SA,0.3468199886428166,0.7693159439926847,0.2315555227193281,0.5114544485881726,run_g
2014,Cynoscion nebulosus_A,0.5393242475865985,0.324626020148108,-0.08683553733090466,0.70621629293216,run_g
2014,Cynoscion nebulosus_R,0.5843270868824532,0.7246203834341579,0.5098456081374391,0.800811176205498,run_g
2014,Lutjanus griseus_R,0.37279954571266327,0.6709505694443191,0.3916167142349525,0.5827940616673011,run_g
